yearID,lgID,league_wide_SLG,dh_status
1995,NL,0.40750771191472723,No_DH
2013,AL,0.4043655552890381,AL_Only_DH
1977,NL,0.39644677661169414,No_DH
1963,AL,0.37981494610168876,No_DH
1988,NL,0.3625825541845248,No_DH
2000,AL,0.4433651189733535,AL_Only_DH
1972,AL,0.3430127041742287,No_DH
1956,NL,0.40086979378240817,No_DH
2008,NL,0.4128901179524804,No_DH
2002,NL,0.41000523953800944,No_DH
1996,AL,0.4449993678088254,AL_Only_DH
1971,NL,0.3663869626572387,No_DH
2024,AL,0.394494850416871,Both_Leagues_DH
2006,AL,0.43687019886110295,AL_Only_DH
2005,NL,0.41407172038129825,No_DH
1946,NL,0.355490093600038,No_DH
1980,NL,0.37447187349106714,No_DH
1954,NL,0.40702405596402313,No_DH
1969,NL,0.36908944350656264,No_DH
1950,AL,0.4024807225222251,No_DH
1985,NL,0.37380351879425083,No_DH
1976,AL,0.3607919526411103,AL_Only_DH
1964,NL,0.3740684465668186,No_DH
2015,AL,0.41220000965763676,AL_Only_DH
1967,AL,0.35135384558592814,No_DH
2001,NL,0.42533484676503974,No_DH
1979,AL,0.4083880892782645,AL_Only_DH
2023,NL,0.41649816064511413,Both_Leagues_DH
1960,AL,0.38756632726229745,No_DH
